SKU,Title,Description,UOM,Unit Price,Qty Available,Active,Attributes JSON,Last Updated
PAPER-A5-70-CARDSTOCK,A5 Cardstock 70 gsm,"Recycled cardstock paper, A5, 70 gsm, for office and print.",ream,4.17,474,True,"{""size"": ""A5"", ""gsm"": 70, ""finish"": ""Cardstock"", ""color"": ""Recycled""}",2025-09-10T15:20:41
PAPER-A2-140-COPY,A2 Copy 140 gsm,"White copy paper, A2, 140 gsm, for office and print.",ream,10.41,379,True,"{""size"": ""A2"", ""gsm"": 140, ""finish"": ""Copy"", ""color"": ""White""}",2025-09-14T19:25:08
PAPER-A2-140-OFFSET,A2 Offset 140 gsm,"Bright White offset paper, A2, 140 gsm, for office and print.",box,47.02,497,False,"{""size"": ""A2"", ""gsm"": 140, ""finish"": ""Offset"", ""color"": ""Bright White""}",2025-06-04T03:33:58
PAPER-A3-100-OFFSET,A3 Offset 100 gsm,"Ivory offset paper, A3, 100 gsm, for office and print.",pallet,546.2,248,True,"{""size"": ""A3"", ""gsm"": 100, ""finish"": ""Offset"", ""color"": ""Ivory""}",2025-05-19T01:14:58
PAPER-A3-200-COATEDGLOSS,A3 Coated Gloss 200 gsm,"White coated gloss paper, A3, 200 gsm, for office and print.",box,43.94,364,True,"{""size"": ""A3"", ""gsm"": 200, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-07-29T15:02:54
PAPER-A2-100-CARDSTOCK,A2 Cardstock 100 gsm,"Recycled cardstock paper, A2, 100 gsm, for office and print.",box,38.76,364,True,"{""size"": ""A2"", ""gsm"": 100, ""finish"": ""Cardstock"", ""color"": ""Recycled""}",2025-06-21T22:42:56
PAPER-A5-90-COPY,A5 Copy 90 gsm,"Bright White copy paper, A5, 90 gsm, for office and print.",ream,4.85,636,True,"{""size"": ""A5"", ""gsm"": 90, ""finish"": ""Copy"", ""color"": ""Bright White""}",2025-07-28T01:06:52
PAPER-A4-250-COATEDGLOSS,A4 Coated Gloss 250 gsm,"White coated gloss paper, A4, 250 gsm, for office and print.",box,37.43,515,True,"{""size"": ""A4"", ""gsm"": 250, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-06-05T05:00:35
PAPER-SRA3-100-CARDSTOCK,SRA3 Cardstock 100 gsm,"Ivory cardstock paper, SRA3, 100 gsm, for office and print.",box,34.31,329,True,"{""size"": ""SRA3"", ""gsm"": 100, ""finish"": ""Cardstock"", ""color"": ""Ivory""}",2025-06-21T13:20:53
PAPER-A3-140-COATEDGLOSS,A3 Coated Gloss 140 gsm,"White coated gloss paper, A3, 140 gsm, for office and print.",ream,8.53,481,True,"{""size"": ""A3"", ""gsm"": 140, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-07-13T19:55:15
PAPER-SRA3-140-CARDSTOCK,SRA3 Cardstock 140 gsm,"Bright White cardstock paper, SRA3, 140 gsm, for office and print.",ream,8.65,330,True,"{""size"": ""SRA3"", ""gsm"": 140, ""finish"": ""Cardstock"", ""color"": ""Bright White""}",2025-09-08T21:44:44
