Line ID,Order,Product,Requested Text,Qty,UOM,Unit Price,Line Total,Match Score,Notes
1,O-2025-0001,PAPER-A5-170-OFFSET-M,A5 Offset 170 gsm Bright White qty 28 reams,28,ream,5.32,148.96,0.826,
2,O-2025-0002,PAPER-A2-70-UNCOATED,A2 Uncoated 70 gsm Ivory qty 11 reams,11,ream,7.35,80.85,0.919,manual review suggested
3,O-2025-0003,PAPER-A5-75-OFFSET,A5 Offset 75 gsm Ivory qty 52 boxs,52,box,21.66,1126.32,0.927,manual review suggested
4,O-2025-0004,PAPER-A4-100-COATEDGLOSS-M,A4 Coated Gloss 100 gsm Recycled qty 4 pallets,4,pallet,532.04,2128.16,0.924,manual review suggested
5,O-2025-0005,PAPER-A4-70-UNCOATED,A4 Uncoated 70 gsm White qty 23 reams,23,ream,5.0,115.0,0.916,auto-mapped
6,O-2025-0006,PAPER-SRA3-140-CARDSTOCK-D,SRA3 Cardstock 140 gsm Recycled qty 60 boxs,60,box,40.52,2431.2,0.826,
7,O-2025-0007,PAPER-A5-160-UNCOATED,A5 Uncoated 160 gsm Bright White qty 100 boxs,100,box,26.02,2602.0,0.946,auto-mapped
8,O-2025-0008,PAPER-A3-90-COPY-D,A3 Copy 90 gsm White qty 29 boxs,29,box,30.61,887.69,0.97,auto-mapped
9,O-2025-0009,PAPER-A4-250-CARDSTOCK,A4 Cardstock 250 gsm White qty 37 reams,37,ream,8.5,314.5,0.962,auto-mapped
10,O-2025-0010,PAPER-SRA3-70-COPY,SRA3 Copy 70 gsm Ivory qty 2 pallets,2,pallet,560.93,1121.86,0.763,
11,O-2025-0011,PAPER-SRA3-75-CARDSTOCK,SRA3 Cardstock 75 gsm Ivory qty 49 reams,49,ream,6.69,327.81,0.866,
12,O-2025-0012,PAPER-SRA3-80-COATEDGLOSS-K,SRA3 Coated Gloss 80 gsm White qty 13 reams,13,ream,6.39,83.07,0.821,manual review suggested
13,O-2025-0013,PAPER-A2-200-COPY,A2 Copy 200 gsm White qty 18 reams,18,ream,13.88,249.84,0.829,auto-mapped
14,O-2025-0014,PAPER-A4-170-COATEDGLOSS-K,A4 Coated Gloss 170 gsm Bright White qty 44 reams,44,ream,7.46,328.24,0.855,manual review suggested
15,O-2025-0015,PAPER-SRA3-160-OFFSET,SRA3 Offset 160 gsm Bright White qty 2 pallets,2,pallet,622.28,1244.56,0.821,
